peak_n,peak_n1
53.96929537139919,54.73473734600976
54.73473734600976,56.84492143676816
56.84492143676816,57.055602881109074
57.055602881109074,58.53026248664925
58.53026248664925,57.64559589094727
57.64559589094727,58.41750474652457
58.41750474652457,55.830693440636146
55.830693440636146,52.966877541470375
52.966877541470375,54.64735539292399
54.64735539292399,56.921744109673575
56.921744109673575,59.06202846576942
59.06202846576942,58.455452953280485
58.455452953280485,57.97689986549629
57.97689986549629,59.135263092719306
59.135263092719306,57.66975724095557
57.66975724095557,59.81291548163057
59.81291548163057,58.86358206805356
58.86358206805356,55.45286261053041
55.45286261053041,58.36327946931631
58.36327946931631,60.17072068837664
60.17072068837664,57.163256170401056
57.163256170401056,58.281208555285886
58.281208555285886,55.60969353687146
55.60969353687146,57.0162251420556
57.0162251420556,54.94097514477897
54.94097514477897,53.641660503689806
53.641660503689806,57.084733421138026
57.084733421138026,54.26355318652852
54.26355318652852,54.646111482006866
54.646111482006866,55.03154129453166
55.03154129453166,55.87138920952304
55.87138920952304,56.71343560635505
56.71343560635505,54.901519620600965
54.901519620600965,55.8313986317188
55.8313986317188,52.13634517577035
52.13634517577035,54.352704989010846
54.352704989010846,55.181219222855695
55.181219222855695,57.20216268700676
57.20216268700676,55.13758526174872
55.13758526174872,55.2358928048981
55.2358928048981,60.051882129393995
60.051882129393995,60.94742248019644
60.94742248019644,59.87251604196956
59.87251604196956,57.345918288220595
57.345918288220595,59.40654778586556
59.40654778586556,57.40067414728716
57.40067414728716,59.648255013605734
59.648255013605734,56.58170266342243
56.58170266342243,60.19534352470409
60.19534352470409,56.87397325589287
56.87397325589287,58.900451350518175
58.900451350518175,56.906186950171055
56.906186950171055,54.73205097104156
54.73205097104156,53.0874532586279
53.0874532586279,54.648134865104495
54.648134865104495,52.937804577900785
52.937804577900785,54.41309385305424
54.41309385305424,56.599821343409296
56.599821343409296,58.87570754695678
58.87570754695678,58.3945061040641
58.3945061040641,60.283904798516396
60.283904798516396,58.45703574941596
58.45703574941596,54.71181767021237
54.71181767021237,54.64543296135021
54.64543296135021,54.08392580104618
54.08392580104618,51.873684517881486
51.873684517881486,55.0990209874491
55.0990209874491,55.592940125460274
55.592940125460274,55.4614984419927
55.4614984419927,56.20988143630937
56.20988143630937,56.91190801679517
56.91190801679517,57.03034011431822
57.03034011431822,56.33733791335159
56.33733791335159,56.81039463697083
56.81039463697083,55.893278131117604
55.893278131117604,55.971353017955586
55.971353017955586,54.305843645028666
54.305843645028666,52.44500709170497
52.44500709170497,52.21741859486502
52.21741859486502,51.93738293357126
51.93738293357126,51.95127854343786
51.95127854343786,52.86060487354342
52.86060487354342,53.35889421895573
53.35889421895573,54.28849842913916
54.28849842913916,58.288861109385614
58.288861109385614,56.586103755554454
56.586103755554454,57.52602301469096
57.52602301469096,54.305318822285415
54.305318822285415,58.591925897996276
58.591925897996276,59.71291202550265
59.71291202550265,60.787294573066674
60.787294573066674,61.050710296934135
61.050710296934135,58.38506393272577
58.38506393272577,58.36774295550105
58.36774295550105,63.028138499585665
63.028138499585665,64.68435361419525
64.68435361419525,62.827589183128055
62.827589183128055,58.49143384074052
58.49143384074052,55.8704664861733
55.8704664861733,58.89292596333605
58.89292596333605,57.216337465921285
57.216337465921285,54.57524721093277
54.57524721093277,54.30521923567283
54.30521923567283,55.793483361786336
55.793483361786336,57.1257355450694
57.1257355450694,56.05397316057772
56.05397316057772,58.001159445642166
58.001159445642166,58.53505911236777
58.53505911236777,58.21655681036594
58.21655681036594,56.521936565096645
56.521936565096645,56.876884127579835
56.876884127579835,61.09512194894244
61.09512194894244,60.76165853256995
60.76165853256995,61.71604708692043
61.71604708692043,61.70839896369405
61.70839896369405,58.2815957387666
58.2815957387666,62.22406966720004
62.22406966720004,58.206197621479035
58.206197621479035,57.75867862509396
57.75867862509396,57.0626154042466
57.0626154042466,53.06071820087247
53.06071820087247,54.790738672132036
54.790738672132036,57.05205989182507
57.05205989182507,58.79457512803432
58.79457512803432,60.31674139480996
60.31674139480996,56.93914076432377
56.93914076432377,58.63386441113953
58.63386441113953,57.84928321738287
57.84928321738287,57.877493100922464
57.877493100922464,54.194920675712694
54.194920675712694,56.60168530364059
56.60168530364059,56.95472263546926
56.95472263546926,59.739919168516394
59.739919168516394,58.182804455771354
58.182804455771354,59.55138310887387
59.55138310887387,58.79152712123318
58.79152712123318,58.53091690973601
58.53091690973601,57.95811083456387
57.95811083456387,55.86186842391621
55.86186842391621,54.49199568259431
54.49199568259431,53.12064966227403
53.12064966227403,52.839679650590305
52.839679650590305,56.06893593192549
56.06893593192549,53.944839529538136
53.944839529538136,56.22800178307114
56.22800178307114,56.20491347639702
56.20491347639702,52.69627556430652
52.69627556430652,50.7077246436949
50.7077246436949,53.2617624957573
53.2617624957573,55.326636297414694
55.326636297414694,57.78448404049865
57.78448404049865,55.812994627967065
55.812994627967065,54.39992280314544
54.39992280314544,57.78244459953268
57.78244459953268,56.41096939989353
56.41096939989353,57.534398025857044
57.534398025857044,59.35485844428855
59.35485844428855,56.172018205833886
56.172018205833886,56.270993603945996
56.270993603945996,54.21241862188888
54.21241862188888,52.71365924496616
52.71365924496616,55.053552206589245
55.053552206589245,58.92280271322518
58.92280271322518,53.55299561260268
53.55299561260268,54.78612847650314
54.78612847650314,55.288037472601154
55.288037472601154,56.3410299805989
56.3410299805989,55.56988587034458
55.56988587034458,55.3254677670534
55.3254677670534,55.95402274090143
55.95402274090143,54.04345138913071
54.04345138913071,54.66900887189864
54.66900887189864,55.78967144044571
55.78967144044571,56.87613071063906
56.87613071063906,54.81062449464912
54.81062449464912,54.40852405571993
54.40852405571993,58.10003247398556
58.10003247398556,54.433858414950436
54.433858414950436,54.79431269632454
54.79431269632454,55.36239943611492
55.36239943611492,54.312327348957176
54.312327348957176,58.16306347658787
58.16306347658787,57.31160939586023
57.31160939586023,59.386566796067264
59.386566796067264,57.93746441179703
57.93746441179703,53.56352829820567
53.56352829820567,54.1604328022148
54.1604328022148,53.28183544848762
53.28183544848762,53.994979247222915
53.994979247222915,54.53068929348907
54.53068929348907,56.51096719976357
56.51096719976357,56.796205539989245
56.796205539989245,58.47274962782711
58.47274962782711,59.78509215268091
59.78509215268091,56.82233359546821
56.82233359546821,55.78544463215481
55.78544463215481,55.33327695424619
55.33327695424619,55.283178425914116
55.283178425914116,55.75733895639436
55.75733895639436,58.0792267063479
58.0792267063479,56.39768788753734
56.39768788753734,57.17327392754832
57.17327392754832,58.36920945183041
58.36920945183041,58.99271888102496
58.99271888102496,56.30586170616715
56.30586170616715,56.391360933342604
56.391360933342604,56.54127177540419
56.54127177540419,55.299229657037834
55.299229657037834,52.34018201976584
52.34018201976584,53.22335113490784
53.22335113490784,53.36826925968293
53.36826925968293,54.928533961683634
54.928533961683634,57.37120522822701
57.37120522822701,54.37281742968329
54.37281742968329,56.52357940003877
56.52357940003877,56.84613656461423
56.84613656461423,58.81905950846438
58.81905950846438,56.04366053309195
56.04366053309195,53.989161060169174
53.989161060169174,55.51680938041473
55.51680938041473,55.43333802086543
55.43333802086543,56.650535906494405
56.650535906494405,58.33323011551506
58.33323011551506,56.535535940692334
56.535535940692334,58.89796568020016
58.89796568020016,57.59201084267489
57.59201084267489,55.09922446396014
55.09922446396014,52.91523488955889
52.91523488955889,53.912482892336065
