xi,q,w,s
1.5846680543065323,-1.2857146693332535,0.0,4.968686109297136
-0.04652392076219461,-5.93528374291689,0.0,1.7728813631051705
-1.631400491225012,-1.1894504616966444,-2.7755575615628914e-17,1.8785224884088263
0.21065086156481946,5.8985965549403385,0.0,2.337918379643691
1.5355009576408227,-1.7645747717055815,0.0,5.765929228778434
1.2810398107426735,4.793135840579655,0.0,2.997267292445934
-0.4198680835523639,-5.795738191829536,0.0,0.7578268011147002
0.2823141051480568,5.749403811333469,0.0,1.5976971204522596
1.5347785255899529,-0.7261480267883137,-3.469446951953614e-18,1.0408539217301043
-1.4109125379755567,-4.275565736514838,0.0,0.9140290479870901
1.4486211988464694,4.001452235721423,0.0,4.460584143785374
0.6182360134683126,5.519783003653791,0.0,5.141629745917175
-0.6685633401186303,5.872525981682859,0.0,4.326724431326297
1.3360382595133309,-5.065493260489607,0.0,1.6819725640797343
-0.9904301922557414,-5.256465010564808,0.0,1.3795424338325002
-0.021315434315171647,5.871724491928038,0.0,4.655017417291055
-1.1046202624950159,-4.99614587735104,0.0,1.1370015423728976
-0.0012832203068834924,5.817024658140436,0.0,1.8657109166075316
1.5424409298912247,1.4299981146617633,0.0,2.327135754525994
-0.3380584498049096,-5.747050902747627,0.0,5.438307155318921
1.4492547684466002,3.7601749880122806,0.0,0.5306171074032728
-1.559190968137944,0.8274607800446432,0.0,1.6074928601313165
0.5290099892047918,5.676371668679939,0.0,1.029272916804858
0.6803954773859222,-5.907355341659877,0.0,0.9095208743977754
-0.7337260807949635,5.92831480447963,1.3877787807814457e-17,4.003451681012391
0.6846583992565215,-5.867458644244774,0.0,1.5604175217615865
-1.4312369286770643,-3.815371024305,0.0,0.7848164121000177
1.419519414691758,3.967486071958632,0.0,1.9915903476261088
0.560157285972599,-5.93326216253943,0.0,2.9518521576957877
-0.023908758281816305,5.800702709466265,0.0,7.040569647003305
1.5290371439987658,0.8294156701590987,0.0,2.5472345064014195
0.03421678679821639,5.857626115561655,0.0,2.3910835395730894
-1.0506733564180573,5.76391483447206,0.0,6.805897987660674
0.5589833210291136,5.623012984674862,0.0,3.6445317103930535
-1.5252980381070642,2.7871905675013573,0.0,0.8788087053466762
1.585977976858146,-2.6529264300610067,0.0,3.319710685099595
-1.6111249316578553,-3.8557198644598074,0.0,3.3830013627240474
0.9180474426460532,5.572407298720876,0.0,4.118793002147826
-1.0175006921312013,-5.432840581539701,0.0,2.9690504647568177
0.052225223267004656,6.022965159314402,0.0,0.4873208186808323
-1.0359714769457147,-5.164798211468598,0.0,0.5135016482893664
1.5692139446476157,3.121675261289244,0.0,1.3147495048350601
-0.9565267817351947,-5.269591745081155,0.0,3.5847750824760207
-1.3141512906510577,-4.627182732242718,0.0,7.381470565059606
1.0065021158204708,-5.888326401334404,0.0,2.536291342777716
1.1977318548786802,4.786324076387299,0.0,1.6274607604395892
0.9588988349331609,-5.818050609496786,0.0,1.2217082393078431
-1.6178916974196895,-0.59041694898706,0.0,2.501708944211469
-1.2000137589907354,-4.9279044392716544,0.0,3.4335869391218856
0.34003187779957456,5.861656429401135,0.0,4.882456905337916
-1.4139636196909853,-4.4114422103309145,0.0,4.893533763857649
1.598069428637496,-1.2601182676652367,0.0,5.407713017247149
0.42042186322893993,5.812244328042706,0.0,5.039550594352855
0.23892717414063033,5.77590613412779,0.0,3.512181484816753
0.21341178303235403,-5.89572260992605,0.0,7.661469736162429
0.8048655267086378,5.344839255474245,0.0,0.792811704945489
-0.6957107846870216,-5.339841144294405,6.938893903907228e-18,2.16555507857983
-1.2700287570556417,4.604041166213257,0.0,4.022098551733713
1.2942209023057138,-4.255954465184457,-6.938893903907228e-18,1.7770210516298448
-0.8294094604683906,-5.236311184939262,0.0,1.8425895229428921
-1.2390134876469525,4.9511101658561305,0.0,2.245696702262909
1.0222169659953884,5.0074786263075115,0.0,4.516157751124506
-1.2542403239503066,5.259779105298251,0.0,2.1063446439454885
1.0728990927996316,5.055292239399256,0.0,3.528821680998366
1.5207078485386214,-3.553621200699481,0.0,0.6047730638827895
-0.7877336432122898,6.021470466481654,0.0,2.957092276429766
1.4450969720886473,-4.337069124722141,0.0,0.10552905188324486
0.21645987800955205,-6.023456786464867,0.0,0.16116933043557213
-0.06106338577265249,-5.9034003953438505,0.0,2.6302876976278178
1.1616666411562135,4.718295703431757,0.0,2.1594290928200106
0.8924040655822091,-5.78876692772206,0.0,3.983762828189434
-0.8612102131614925,5.730085076002688,0.0,1.327625121422011
1.5209484725083688,-0.20571388164967863,0.0,3.6544428592113922
0.2437020932772572,5.695891603772193,0.0,0.7437491844500305
-0.09159580548406883,-5.745870224917236,0.0,1.3929119570383592
-0.8975297895464286,5.709373745856572,-2.7755575615628914e-17,4.876506276770828
-0.18132712979713544,-5.716372299754178,0.0,4.517802576189735
1.5537656535970736,1.1468888803436679,0.0,2.002307872862014
-0.2128504627644315,-5.805163945430336,0.0,2.961423952849895
-0.7196192186878215,5.83283033509168,0.0,0.35170714072719644
-1.1509943441318211,-4.747926711701895,0.0,0.2695189516673315
0.49308968046961127,-5.901728748330657,0.0,1.583614311983918
-1.4973823946680176,-3.3048097292811205,0.0,0.9339488792416011
1.5563933574237407,2.8559262889575217,0.0,5.049332064119251
1.571266267929322,2.921533260406084,0.0,4.684381928839025
-1.3793840109359254,4.454611993133549,0.0,1.6156987345449436
0.9352970488994004,5.28028278460806,0.0,1.0530003555638157
0.23335906650769905,-5.920229566800729,-1.3877787807814457e-17,1.1326564277370743
-1.3079646536922522,4.984334366411789,0.0,1.7564385334446722
0.9682098592846586,5.213536913269438,0.0,1.7391063623846688
1.2126027981293699,-5.398793515306003,0.0,1.750855853891277
-1.0878225399717805,-5.028975228983957,0.0,1.7197662479102298
-1.1019203639615287,5.657146349697002,0.0,1.6673555089096648
1.2090340896246896,4.796540151759831,0.0,1.3334942998200228
-0.23692567339986792,-5.77425793066552,0.0,3.890046246926026
1.4950089639957846,3.500945590169388,0.0,6.658727614079842
0.0029020321619153237,-5.818389753210168,0.0,2.532083785671775
1.5274295486332696,2.0728496786855874,2.7755575615628914e-17,1.952661364171753
-0.0073325137825922156,-5.858719783703423,0.0,2.7143651355043263
0.17755466148817653,5.665428198530011,0.0,0.40300750069031277
-1.474160489310908,-2.7553866064114803,0.0,2.2576403953834023
-0.05895992168936027,5.842771957902842,0.0,4.6721483666986865
-1.0040544190975373,-5.0187432910254275,0.0,1.416899177872272
0.16355613117528228,5.7169379627370835,0.0,5.544856947200349
0.0752600341599286,5.684097019561738,0.0,0.0969460830092091
1.0994261579208018,4.689412911774588,0.0,0.6826164996995495
-1.0760423613388457,-4.742287770195188,0.0,0.5080115499723192
1.4893296196850045,2.444459799174511,0.0,1.1321701739205996
-0.9657686779009514,-5.077736090086575,2.7755575615628914e-17,1.782747145650106
-1.1284874601316894,5.364780669634506,0.0,1.9476338491230143
1.0681909257571942,4.888973727215976,0.0,2.6557410645612376
-1.59404710463393,-1.325757965169111,0.0,3.2452395286348596
1.282541179666533,4.770911586192355,0.0,2.750155203705182
-1.4199461395836601,-4.478475685935359,0.0,1.2468905322524941
0.4575633799172767,5.732191524563864,0.0,2.8755164232738184
-0.6248269915016906,-5.532521421778496,-5.551115123125783e-17,3.7111332765695466
1.4037632521430725,-4.445540328642698,0.0,4.873887872087099
-0.4180520737959372,5.962104296305163,2.7755575615628914e-17,4.451897997009013
-1.4471085693105938,3.830741786038511,0.0,3.318356207498601
1.5836859716796268,3.4071413546361247,0.0,3.390218765929048
-0.9883303617713637,-5.385354109505903,0.0,4.181633658904282
1.0984403989168945,5.251053868419071,0.0,3.7763178154512955
-1.7513800516767588,-1.938741725205194,0.0,1.7981973339430628
0.1121717785553646,6.051223470163088,0.0,1.9649378010297311
1.7081266402833433,0.8362227638863804,0.0,2.814325983282613
-1.7505621111371492,-0.1335263421328154,0.0,2.1897137963166
0.5091571640198201,5.911703928201394,0.0,4.062702033199165
-0.6178138943557684,-5.783166234277264,0.0,2.307188959342558
-1.4478200603670468,4.645130703184727,0.0,5.38166109984637
-0.7534067064758162,-5.59799106509141,0.0,4.18654480098832
0.8658210589799153,5.484533167990169,0.0,3.8092233760583794
-1.6868860057629638,-2.8980416500398825,0.0,2.721817071731788
1.7780852153594855,2.0433723705800553,0.0,0.4984796369155694
-1.4076890044636337,5.532258108266373,0.0,0.7651937854062141
1.4842359217284853,-5.3632233017139646,-2.7755575615628914e-17,1.476968376196764
-1.2976227516044005,-5.165737394419145,0.0,0.18240126153247105
-0.6361465527187044,-5.723761084623208,0.0,1.183957135264549
-0.6292151889702684,5.9959576565929495,0.0,2.315609810130376
1.5975741508035572,3.1872708577243873,0.0,5.314981607328942
-0.5441708334038579,5.9855960287792795,0.0,3.064896610222155
1.3963143310071255,-4.028483911732316,0.0,1.3131282375975963
-1.5800499391644365,-3.229822406832842,0.0,3.4772530326779933
